{
debugQuery: { },
pageNumbers: 76,
extenalFileds: {
subInfos: "{"10011397828":{"url":"/uimg1/b2c/image/0hND1MAImKNOMMpc7u5HXQ==.jpg"}}",
mdmGroupId: "R0401004",
picVersion: "2008",
auxdescription: "【818钜惠价！错过拍大腿！】蓝光小双筒，不锈钢脱水桶！晒单联系客服返十块冷饮费",
activationFlag: "1",
appAttrTitle: [
"蓝光净衣",
"健康分洗",
"不锈钢脱水桶"
],
attrShow: [
{
attrAppValue: "4kg及以下",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4kg及以下",
attrValueId: "1199987",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
paramValue: "XPB25-1680S",
goodType: "Z001",
commentShow: "7300+"
},
saleStatus: 0
},
{
partnumberVendorId: "101169759_0070078474",
vendorId: "0070078474",
vendorName: "海尔海迅专营店",
inventory: "0",
auxdescription: "小件衣物节省洗全塑外壳 永不生锈 抗菌清香波轮 海尔全国联保3年 送货入户",
brandId: "000020743",
brandName: "海尔(Haier)",
catentdesc: "海尔(Haier) XPM30-2008 3公斤 迷你半自动洗衣机 抗 菌波轮抑 制细菌滋生",
catentryId: "",
countOfarticle: "8",
partnumber: "101169759",
price: "379.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "100.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"379.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"11658840627476091442","short_brand_Id_1":"17597960212883394249","isKAcomoodity":"1","totalCount":"4.000000","countOfarticle":"8","praiseRate":"100.000000","goodsQualityScore":"0.000360","shopQualityScore":"0.778690","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"8","categoryId":"244006","goodQualityScore":"0.000300","totalScore":"3985.393555","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"8","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.311079","goodQualityScore":"0.000300","shopQualityScore":"0.778690","goodAppQualityScore":"0.001060","goodConQualityScore":"0.864400","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.024390","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"101169759":{"url":"/uimg1/b2c/image/Y_W4La-sF7BoDnEwr4vjlw==.jpg"}}",
mdmGroupId: "R0401004",
picVersion: "2002",
auxdescription: "小件衣物节省洗全塑外壳 永不生锈 抗菌清香波轮 海尔全国联保3年 送货入户",
ZYLY: "0",
attrShow: [
{
attrAppValue: "4kg及以下",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4kg及以下",
attrValueId: "1199987",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://haierkongtiao.suning.com",
paramValue: "XPM30-2008",
goodType: "Z001",
commentShow: "8"
},
saleStatus: 0
},
{
partnumberVendorId: "10060081232_0070159386",
vendorId: "0070159386",
vendorName: "海飞官方旗舰店",
inventory: "0",
auxdescription: "桶壁一体、高强度工程塑料外壳，进口ABS淡绿色透明大翻盖，三旋钮控制面板",
brandId: "000023L61",
brandName: "海飞(Haifei)",
catentdesc: "海飞 带脱水甩干半自动双桶双筒双缸洗衣机",
catentryId: "",
countOfarticle: "584",
partnumber: "10060081232",
price: "379.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "98.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"379.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"17183266655184636631","short_brand_Id_1":"14729591945968508897","isKAcomoodity":"1","totalCount":"18.000000","countOfarticle":"584","praiseRate":"98.000000","goodsQualityScore":"0.000540","shopQualityScore":"0.649590","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"584","categoryId":"244006","goodQualityScore":"0.000470","totalScore":"3985.393555","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"584","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.580397","goodQualityScore":"0.000470","shopQualityScore":"0.649590","goodAppQualityScore":"0.000750","goodConQualityScore":"0.840000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"10060081232":{"url":"/uimg1/b2c/image/V8H-Ufhs0tfq0wtmhQKgNw==.jpg"}}",
mdmGroupId: "R0401001",
picVersion: "2005",
auxdescription: "桶壁一体、高强度工程塑料外壳，进口ABS淡绿色透明大翻盖，三旋钮控制面板",
ZYLY: "0",
attrShow: [
{
attrAppValue: "7-7.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "7-7.9kg",
attrValueId: "1199977",
sort: "39.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://haifei.suning.com",
paramValue: "XPB70-188S/S6580",
goodType: "Z001",
commentShow: "500+"
},
saleStatus: 0
},
{
partnumberVendorId: "134355555_0000000000",
vendorId: "0000000000",
vendorName: "苏宁自营",
inventory: "0",
auxdescription: "威力—38年专注洗衣机领域！苏宁自营,品质保证,送货上门,全国联保！",
brandId: "000021931",
brandName: "威力(WEILI)",
catentdesc: "威力(WEILI) XPB40-288A9",
catentryId: "",
countOfarticle: "1132",
partnumber: "134355555",
price: "385.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "98.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"385.000000","mainCommodityId_1":"0","vendorType_1":"14973660089898329583","vendor_Id_1":"17417399685840051433","short_brand_Id_1":"1572184987812844775","isKAcomoodity":"1","totalCount":"20.000000","countOfarticle":"1132","praiseRate":"98.000000","goodsQualityScore":"0.001512","shopQualityScore":"1.000000","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"1132","categoryId":"244006","goodQualityScore":"0.001188","totalScore":"3985.170898","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"1132","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.604262","goodQualityScore":"0.001188","shopQualityScore":"1.000000","goodAppQualityScore":"0.001248","goodConQualityScore":"0.977800","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"1.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.090000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"134355555":{"url":"/uimg1/b2c/image/LVcHVgvtwccw0UuR1b6vIQ==.jpg"}}",
mdmGroupId: "R0401004",
picVersion: "2024",
auxdescription: "威力—38年专注洗衣机领域！苏宁自营,品质保证,送货上门,全国联保！",
activationFlag: "1",
appAttrTitle: [
"省时省力",
"全塑机身",
"强劲有力"
],
attrShow: [
{
attrAppValue: "4kg及以下,4-5.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4kg及以下,4-5.9kg",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
paramValue: "XPB40-288A9",
goodType: "Z001",
commentShow: "1100+"
},
saleStatus: 0
},
{
partnumberVendorId: "163718746_0070143264",
vendorId: "0070143264",
vendorName: "金帅电器旗舰店",
inventory: "0",
auxdescription: "8.5kg大容量单洗洗衣机，强劲动力，小巧不占地",
brandId: "00002222H",
brandName: "金帅(JINSHUAI)",
catentdesc: "金帅（jinshuai）8.5千克 单桶半自动 迷你小洗衣机 XPB85-1668",
catentryId: "",
countOfarticle: "33",
partnumber: "163718746",
price: "388.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "100.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"388.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"1027244721459708953","short_brand_Id_1":"16544174880102777824","isKAcomoodity":"1","totalCount":"1.000000","countOfarticle":"33","praiseRate":"100.000000","goodsQualityScore":"0.000160","shopQualityScore":"0.634930","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"33","categoryId":"244006","goodQualityScore":"0.000110","totalScore":"3985.059570","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"33","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.431578","goodQualityScore":"0.000110","shopQualityScore":"0.634930","goodAppQualityScore":"0.000210","goodConQualityScore":"0.860000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.500000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.148148","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0401004",
picVersion: "2001",
auxdescription: "8.5kg大容量单洗洗衣机，强劲动力，小巧不占地",
ZYLY: "0",
attrShow: [
{
attrAppValue: "8-8.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "8-8.9kg",
attrValueId: "1199982",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://e-kingsun.suning.com",
paramValue: "XPB85-1668",
goodType: "Z001",
commentShow: "30+"
},
saleStatus: 0
},
{
partnumberVendorId: "616520484_0070149122",
vendorId: "0070149122",
vendorName: "澳柯玛电器官方旗舰店",
inventory: "0",
auxdescription: "【限时直降到手仅368！】双缸双桶 洗脱两用 宝妈神器",
brandId: "000020280",
brandName: "澳柯玛(AUCMA)",
catentdesc: "澳柯玛(AUCMA)XPB-25-8515 2.5公斤双缸洗衣机蓝色",
catentryId: "",
countOfarticle: "1958",
partnumber: "616520484",
price: "388.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "99.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"388.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"14915144944746937946","short_brand_Id_1":"13437729011210147851","isKAcomoodity":"1","totalCount":"2.000000","countOfarticle":"1958","praiseRate":"99.000000","goodsQualityScore":"0.000348","shopQualityScore":"0.759580","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"1958","categoryId":"244006","goodQualityScore":"0.000288","totalScore":"3985.059570","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"1958","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.622058","goodQualityScore":"0.000288","shopQualityScore":"0.759580","goodAppQualityScore":"0.000552","goodConQualityScore":"0.910000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"1.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.083333","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"616520484":{"url":"/uimg1/b2c/image/4rCp-en4n-CjWpJdgZM5oQ==.jpg"}}",
mdmGroupId: "R0401001",
picVersion: "2039",
auxdescription: "【限时直降到手仅368！】双缸双桶 洗脱两用 宝妈神器",
ZYLY: "0",
activationFlag: "1",
appAttrTitle: [
"双缸半自动",
"洗脱两用",
"租房神器"
],
attrShow: [
{
attrAppValue: "4kg及以下",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4kg及以下",
attrValueId: "1199987",
sort: "39.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://aucmamini.suning.com",
paramValue: "澳柯玛(AUCMA)XPB-25-8515",
goodType: "Z001",
commentShow: "1900+"
},
saleStatus: 0
},
{
partnumberVendorId: "175477977_0070070004",
vendorId: "0070070004",
vendorName: "索兰电器专营店",
inventory: "0",
auxdescription: "迷你双桶洗衣机 可洗可甩干 节能省水省电",
brandId: "00002V765",
brandName: "YOKO",
catentdesc: "小鸭双桶双缸半自动小型迷你儿童宝宝洗衣机带甩干洗脱一体杀菌",
catentryId: "",
countOfarticle: "110",
partnumber: "175477977",
price: "388.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "94.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"388.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"5586048626543791599","short_brand_Id_1":"9812130676788809054","isKAcomoodity":"1","totalCount":"2.000000","countOfarticle":"110","praiseRate":"94.000000","goodsQualityScore":"0.000090","shopQualityScore":"0.707920","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"110","categoryId":"244006","goodQualityScore":"0.000080","totalScore":"3985.059570","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"110","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.505121","goodQualityScore":"0.000080","shopQualityScore":"0.707920","goodAppQualityScore":"0.000290","goodConQualityScore":"0.812000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.037975","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0401001",
picVersion: "2000",
auxdescription: "迷你双桶洗衣机 可洗可甩干 节能省水省电",
ZYLY: "0",
shopDomain: "{"appEndTime":"1510502340000","wapEndTime":"1510502340000","pcUrl":"http://qs.suning.com/10119706.html","appStartTime":"1508512500000","end":"1510502340000","begin":"1508512500000","wapStartTime":"1508512500000"}",
attrShow: [
{
attrAppValue: "4-5.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4-5.9kg",
attrValueId: "1199976",
sort: "39.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://shop.suning.com/70070004/index.html",
paramValue: "XPB50-588S",
goodType: "Z001",
commentShow: "100+"
},
saleStatus: 0
},
{
partnumberVendorId: "622132571_0000000000",
vendorId: "0000000000",
vendorName: "苏宁自营",
inventory: "0",
auxdescription: "「818钜惠价！错过拍大腿」衣物消毒机！不锈钢蓝光臭氧杀菌洗涤内筒！附赠不锈钢沥水篮！",
brandId: "000022030",
brandName: "小鸭(LittleDuck)",
catentdesc: "小鸭 3.5公斤半自动臭氧杀菌不锈钢内桶 婴儿小洗衣机 迷你洗衣机 XPB35-1709",
catentryId: "",
countOfarticle: "10957",
partnumber: "622132571",
price: "389.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "98.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"389.000000","mainCommodityId_1":"0","vendorType_1":"14973660089898329583","vendor_Id_1":"17417399685840051433","short_brand_Id_1":"3267253513702398139","isKAcomoodity":"1","totalCount":"103.000000","countOfarticle":"10957","praiseRate":"98.000000","goodsQualityScore":"0.003620","shopQualityScore":"1.000000","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"10957","categoryId":"244006","goodQualityScore":"0.002750","totalScore":"3985.022705","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"10957","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.668857","goodQualityScore":"0.002750","shopQualityScore":"1.000000","goodAppQualityScore":"0.003130","goodConQualityScore":"0.800000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"0.500000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.095337","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"622132571":{"url":"/uimg1/b2c/image/-diJtNuiPhB-ZGlrzOOZyw==.jpg"}}",
mdmGroupId: "R0401004",
picVersion: "2009",
auxdescription: "「818钜惠价！错过拍大腿」衣物消毒机！不锈钢蓝光臭氧杀菌洗涤内筒！附赠不锈钢沥水篮！",
appAttrTitle: [
"臭氧除菌",
"蓝光抑菌",
"不锈钢内桶"
],
attrShow: [
{
attrAppValue: "4kg及以下",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4kg及以下",
attrValueId: "1199987",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
paramValue: "小鸭 XPB35-1709",
goodType: "Z001",
commentShow: "1.0万+"
},
saleStatus: 0
},
{
partnumberVendorId: "731395519_0070076696",
vendorId: "0070076696",
vendorName: "安涛商贸生活电器专营店",
inventory: "0",
auxdescription: "婴儿宝宝宿舍洗衣机！低耗省电、定时洗衣快速甩干占地小！ 双筒黑色沉稳大气 居家必备良品",
brandId: "000022003",
brandName: "先科(SAST)",
catentdesc: "先科(SAST)XQB36-1288S 半自动洗衣机小型双桶家用 黑色盖板3.6kg干重",
catentryId: "",
countOfarticle: "3",
partnumber: "731395519",
price: "389.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "100.000000",
suningSale: false,
areaNo: "0",
